"Symbol";"Value";"Unit";
"ATT_0173_1_02_BAC677_009";"1.5";"";
"REFERENCE";"1729131";"";
"ATT_0173_1_02_BAF016_008";"15.24";"";
"TraceParts.PartVersion";"1.2.12";"";
"SUPPLIER";"PHOENIX CONTACT";"";
"ATT_0173_1_02_BAA020_012";"13.5";"";
"ATT_0173_1_02_BAC739_009";"0.14";"";
"ATT_0173_1_02_BAG640_013";"Print mounting";"";
"TraceParts.PartNumber";"10-22122020-098639";"";
"ATT_0173_1_02_AAB940_009";"0.14";"";
"ATT_0173_1_02_AAO663_005";"4017918026004";"";
"DESIGN";"PCB terminal block";"";
"TraceParts.InstanceId";"10-22122020-0986391NFMFBM6Z0S9OL3P6Y3VCUDNB";"";
"ATT_0173_1_02_BAB577_010";"8.15";"";
"ATT_0173_1_02_BAC740_009";"0.14";"";
"TraceParts.PartLanguage";"en";"";
"TraceParts.PartTitle";"MKDSN 1,5/ 3-5,08";"";
"ATT_0173_1_02_AAP798_003";"IEC 60947-7-4";"";
"TRACEPARTS";"TRACEPARTS";"";
"ATT_0173_1_02_BAC140_011";"V0";"";
"ATT_0173_1_02_AAB789_009";"0.75";"";
"ATT_0173_1_02_BAC676_009";"1.5";"";
